localId,TalkerId,Type,SubType,IsSender,CreateTime,Status,StrContent,StrTime,Remark,NickName,Sender
21854,40,1,0,0,1668670579,,谁有anti南京那场演出无人之域的视频,2022-11-17 15:36:19,UNEXPECTED,Anti- General,wxid_psz5bxdhqd2i22
23964,40,10000,0,0,1668749732,,"""UNEXPECTED""邀请""小小魔女""加入了群聊",2022-11-18 13:35:32,,,
23965,40,10000,0,0,1668749732,,"""小小魔女""与群里其他人都不是朋友关系，请注意隐私安全",2022-11-18 13:35:32,,,
25033,40,49,5,0,1668831188,,,2022-11-19 12:13:08,Temonia,Temonia,xiaoliuwanjing
25072,40,47,0,0,1668832338,,"<msg><emoji fromusername = ""wxid_qtymtlryqiil21"" tousername = ""5900239339@chatroom"" type=""2"" idbuffer=""media:0_0"" md5=""1e1b5f0e7e91eaa3db09977a1a6d9cc9"" len = ""10612"" productid=""com.tencent.xin.emoticon.person.stiker_1461251065c7391e3ae7cc53a8"" androidmd5=""1e1b5f0e7e91eaa3db09977a1a6d9cc9"" androidlen=""10612"" s60v3md5 = ""1e1b5f0e7e91eaa3db09977a1a6d9cc9"" s60v3len=""10612"" s60v5md5 = ""1e1b5f0e7e91eaa3db09977a1a6d9cc9"" s60v5len=""10612"" cdnurl = ""http://wxapp.tc.qq.com/262/20304/stodownload?m=1e1b5f0e7e91eaa3db09977a1a6d9cc9&amp;filekey=30340201010420301e020201060402535a04101e1b5f0e7e91eaa3db09977a1a6d9cc902022974040d00000004627466730000000131&amp;hy=SZ&amp;storeid=32303232303430323137303732303030303437313065363735616633613037323938386530623030303030313036&amp;bizid=1023"" designerid = """" thumburl = ""http://mmbiz.qpic.cn/mmemoticon/Q3auHgzwzM51nY8IaV38kvEADmCB1xOUTibeP7MibcWianTPobDqmsObNINdsd03REY/0"" encrypturl = ""http://wxapp.tc.qq.com/262/20304/stodownload?m=427e45f7b83849610f0a9d9ea0fab20b&amp;filekey=30340201010420301e020201060402535a0410427e45f7b83849610f0a9d9ea0fab20b02022980040d00000004627466730000000131&amp;hy=SZ&amp;storeid=32303232303430323137303732303030303637386637363735616633613039623938386530623030303030313036&amp;bizid=1023"" aeskey= ""36224415e2176ad4229f334812489437"" externurl = ""http://wxapp.tc.qq.com/262/20304/stodownload?m=ed887810add06a8ddc208bbda1dcc903&amp;filekey=30340201010420301e020201060402535a0410ed887810add06a8ddc208bbda1dcc90302022b40040d00000004627466730000000131&amp;hy=SZ&amp;storeid=32303232303430323137303732303030303864376239363735616633613039623938386530623030303030313036&amp;bizid=1023"" externmd5 = ""53947b95bac3a4b459e18b90c67d6034"" width= ""240"" height= ""240"" tpurl= """" tpauthkey= """" attachedtext= """" attachedtextcolor= """" lensid= """" emojiattr= """" linkid= """" desc= ""CgwKBXpoX2NuEgPotZ4KCQoFemhfdHcSAAoLCgdkZWZhdWx0EgA="" ></emoji> </msg>",2022-11-19 12:32:18,Anti的Gogo,永琪,wxid_qtymtlryqiil21
25094,40,1,0,0,1668834437,,anti牛逼,2022-11-19 13:07:17,UNEXPECTED,Anti- General,wxid_psz5bxdhqd2i22
37442,40,43,0,0,1669526708,,"<?xml version=""1.0""?>
<msg>
	<videomsg aeskey=""7f41700c3dc37cda7630422ddf235120"" cdnvideourl=""3052020100044b304902010002043a03544202030f5efb02041fc2822b02046382f4b2042465666565383638652d383831632d343162612d626565632d6537316631663638316562360204012c00040201000400"" cdnthumbaeskey=""7f41700c3dc37cda7630422ddf235120"" cdnthumburl=""3052020100044b304902010002043a03544202030f5efb02041fc2822b02046382f4b2042465666565383638652d383831632d343162612d626565632d6537316631663638316562360204012c00040201000400"" length=""2241350"" playlength=""11"" cdnthumblength=""4373"" cdnthumbwidth=""288"" cdnthumbheight=""162"" fromusername=""wxid_2jbfcdzyfcdl21"" md5=""d91e807b55ccf4d82ceca05f8b4819ab"" newmd5=""679c9d06beb93bb97a745665b427d25b"" isplaceholder=""0"" rawmd5="""" rawlength=""0"" cdnrawvideourl="""" cdnrawvideoaeskey="""" overwritenewmsgid=""0"" isad=""0"" />
</msg>
",2022-11-27 13:25:08,空一一空,空一一空,wxid_2jbfcdzyfcdl21
37443,40,1,0,0,1669526720,,今天有录到anti的歌🙌🏼,2022-11-27 13:25:20,空一一空,空一一空,wxid_2jbfcdzyfcdl21
37461,40,49,57,0,1669526969,,,2022-11-27 13:29:29,Temonia,Temonia,xiaoliuwanjing
37466,40,1,0,0,1669527004,,这是张艺兴,2022-11-27 13:30:04,Anti什么时候来贵阳,ARK1Ｄ,wxid_tczy8ih0buqc22
